Timestamp;Server;Groups;PingStatus;Latency;Jitter;Loss;Port53;Port853;Version;Recursion;EDNS;Cookie;DNSSEC;DoH;TLS
2026-02-02 06:52:45;192.203.230.10;ROOT_SERVERS;OK;11.853;4.231;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-02-02 06:53:09;198.41.0.4;ROOT_SERVERS;SLOW;155.839;2.671;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-02-02 06:53:19;208.67.220.220;OPENDNS;OK;24.054;1.084;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-02-02 06:53:28;8.8.4.4;GOOGLE;OK;26.014;2.196;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-02-02 06:53:40;1.1.1.1;CLOUDFLARE;OK;13.623;1.740;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-02-02 06:54:06;198.97.190.53;ROOT_SERVERS;OK;51.272;1.211;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-02-02 06:54:31;192.36.148.17;ROOT_SERVERS;SLOW;180.622;2.329;0;OPEN;CLOSED;REVEALED;CLOSED;OK;OK;UNSUPP;UNSUPP;UNSUPP
2026-02-02 06:54:40;9.9.9.9;QUAD9;OK;9.801;0.928;0;OPEN;OPEN;REVEALED;OPEN;OK;UNSUPP;OK;OK;OK
2026-02-02 06:55:11;192.112.36.4;ROOT_SERVERS;DOWN;0;0;100;OPEN;CLOSED;HIDDEN;CLOSED;OK;OK;UNSUPP;UNSUPP;UNSUPP
2026-02-02 06:55:21;8.8.8.8;GOOGLE;OK;94.593;34.093;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-02-02 06:55:46;192.58.128.30;ROOT_SERVERS;SLOW;276.183;43.828;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-02-02 06:55:57;199.9.14.201;ROOT_SERVERS;SLOW;174.396;0.355;0;OPEN;OPEN;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;OK
2026-02-02 06:56:24;193.0.14.129;ROOT_SERVERS;SLOW;218.499;0.575;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-02-02 06:56:53;192.5.5.241;ROOT_SERVERS;OK;10.300;0.593;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-02-02 06:57:02;208.67.222.222;OPENDNS;OK;28.895;0.452;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-02-02 06:57:25;202.12.27.33;ROOT_SERVERS;OK;31.986;0.237;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-02-02 06:59:05;199.7.83.42;ROOT_SERVERS;DOWN;0;0;100;CLOSED;CLOSED;HIDDEN;UNKNOWN;UNSUPP;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-02-02 06:59:32;199.7.91.13;ROOT_SERVERS;OK;147.390;1.613;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-02-02 06:59:44;1.0.0.1;CLOUDFLARE;OK;11.318;2.173;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-02-02 06:59:53;149.112.112.112;QUAD9;OK;10.373;2.283;0;OPEN;OPEN;REVEALED;OPEN;OK;UNSUPP;OK;OK;OK
2026-02-02 07:00:19;192.33.4.12;ROOT_SERVERS;OK;133.051;0.342;0;OPEN;CLOSED;REVEALED;CLOSED;OK;OK;UNSUPP;UNSUPP;UNSUPP
